smile id
CC(=O)N1Cc2ccccc2C[C@@H]1c3nc(no3)c4ccc5c(c4)cco5 ZINC001248903125
C[NH+]1CC[C@@H]2[C@H]1CCN(C2)C(=O)Nc3ccc4c(c3)C(=O)NCC4 ZINC000878748108
c1cc2c(cc1NC(=O)c3ccc(o3)c4n[n-]nn4)CCNC2=O ZINC001582642475
CC1=CCCN(C1)C(=O)N[C@@H]2CCCc3c2ccc(c3)c4n[n-]nn4 ZINC001590159363
C[C@]1(CC(=O)NC1)OC(=O)c2ccc3c(c2)-c4ccccc4C3 ZINC000838997225
Cc1cccc(c1C)NC(=O)c2ccc(cc2)c3ncc4c(n3)CCCN4 ZINC001244382858
Cc1cccc(c1C)NC(=O)c2ccc(cc2)c3cc4c(nc3)CC[NH2+]C4 ZINC001244383096
c1ccc2c(c1)ccc(n2)C(=O)N3CCC4(CC3)C[C@H](CNC4=O)O ZINC000885024930
c1ccc2c(c1)ccc(n2)C(=O)N3CCC4(CC3)C[C@@H](CNC4=O)O ZINC000885024929
Cc1cc(cc(c1)NC(=O)CN2Cc3ccccc3C2=O)c4n[n-]nn4 ZINC001580980215
CCc1ccc2c(c1)CCN(C2)C(=O)c3cc(ccc3C)c4n[n-]nn4 ZINC001590892046
CCc1ccc2c(c1)CCN(C2)C(=O)Cc3ccc(cc3)c4n[n-]nn4 ZINC001590892036
c1cc2c(cc1C(=O)N3CCC4(CC3)C[C@@H](CNC4=O)O)CCC=C2 ZINC000885017561
c1ccc2cc(ccc2c1)c3nc(on3)Cc4ccc5c(c4)NC(=O)C5 ZINC000685404527
CCc1ccc(c(c1)C(=O)N[C@@H]2CCc3c2ccc(c3)c4n[n-]nn4)O ZINC001590891761
CCc1ccc(c(c1)C(=O)N[C@H]2CCc3c2ccc(c3)c4n[n-]nn4)O ZINC001590891759
Cc1cccc(c1C)NC(=O)c2ccc(cc2)c3cc4c(cn3)CC(=O)N4 ZINC001244383271
Cc1ccc2c(c1)CCN(C2)C(=O)Nc3cc(nc4c3cccc4)C ZINC000685537739
Cc1cc(c2ccccc2n1)NC(=O)Cc3ccc(nc3)c4n[n-]nn4 ZINC001580980566
Cc1cc(c2ccccc2n1)NC(=O)N3CCC=C(C3)c4ccncc4 ZINC000685537860
c1cc([nH]c(=O)c1)C(=O)N[C@@H]2Cc3ccc(cc3C2)c4n[n-]nn4 ZINC001582337723
Cc1cc(c2ccccc2n1)NC(=O)N3CCc4cccc(c4C3)F ZINC000685539955
Cc1cccc2c1CN(CC2)C(=O)Nc3cc(nc4c3cccc4)C ZINC000685540617
c1cc2c(cc1NC(=O)C(=O)N[C@H]3CCCN(C3)C(=O)[O-])C(=O)NCC2 ZINC000739481483
c1cc2c(cc1C(=O)NC3CN(C3)C(=O)[C@H]4CC[C@H](C4)F)C=CCC2 ZINC000995371451
